    feature,importance
floor_area_sqm,0.4258933290824408
pt_time_to_cbd_min_adj,0.16668296478038017
year,0.1311153728071395
lease_commence_year,0.09394549789137782
pt_time_to_cbd_min,0.011262910649730755
dist_to_cbd_km,0.010433282475633295
lon,0.010110807170589094
flat_type_4 ROOM,0.00961213825596856
remaining_lease_years,0.009398718899903933
drive_time_to_cbd_min,0.009335905633832641
avg_floor,0.007285300134398832
storey_avg,0.006776950022920294
lat,0.006669234667488487
town_total_txn,0.006368653315490671
dist_to_nearest_top_secondary_km,0.006314025645824371
town_cum_txn,0.006240503085808539
town_year_txn,0.0056704008413291295
dist_to_nearest_mrt_km,0.0055042139341876595
block_cum_txn,0.004235452382014715
dist_to_nearest_bus_interchange_km,0.003974790084486889
flat_model_DBSS,0.0037410858060778463
flat_type_5 ROOM,0.0031842276207952056
dist_to_nearest_jc_km,0.0030508981451797938
dist_to_nearest_mall_km,0.002783685282089715
dist_to_nearest_poly_km,0.0023859108651233516
dist_to_nearest_supermarket_km,0.002385811172227613
flat_type_2 ROOM,0.002083464813215512
flat_type_EXECUTIVE,0.0020274110658986574
quarter,0.0019532787792063172
dist_to_nearest_hospital_km,0.0019434028660517183
flat_model_Model A,0.0018335991494422782
dist_to_nearest_hawker_km,0.0017363387475854825
dist_to_nearest_top_primary_km,0.001425214525856869
block_total_txn,0.0013672097259500497
dist_to_nearest_top_primary_km.1,0.0013479571939683228
floor_tier,0.0012831081507189744
lease_age,0.001222264351273571
floor_premium_factor,0.0011649689103107245
total_amenities_within_1km,0.0011583279967210343
flat_type_3 ROOM,0.0009670052799370392
flat_model_Terrace,0.000820912978534585
block_year_rank_in_town,0.0008102563035194174
nearest_mrt_name_Buangkok,0.0007407277615366686
noise_score,0.0007052009195811906
block_share_of_town_year_pct,0.0006583476768346053
block_share_of_town_year,0.0006476434605451725
block_year_txn,0.0004954854771987043
supermarkets_within_1km,0.00049232988619018
nearest_jc_name_Tampines Meridian Junior College,0.0004897922467331481
cbd_noise_band_Mid Ring (3–6km),0.00044536755209032724
flat_model_Improved,0.00043410479598016415
hawkers_within_1km,0.00040324015694299817
nearest_top_secondary_name_CHIJ St Joseph’s Convent,0.00038118575252313975
nearest_jc_name_Eunoia Junior College,0.0003669199911448775
floor_category_Low (1–3),0.0003636373654270559
nearest_jc_name_Anderson Serangoon Junior College,0.00034317498105445953
nearest_hawker_name_Chomp Chomp Food Centre,0.00033980967309652486
street_name_ANG MO KIO ST 32,0.0003202614637101668
floor_category_Premium High (20+),0.00027695658161109725
nearest_supermarket_chain_Giant,0.000271624511328305
nearest_supermarket_chain_FairPrice,0.00023817862297370457
nearest_mrt_name_Bukit Batok,0.00022495266112656262
nearest_mall_name_West Mall,0.00021118319065438205
floor_category_Mid (4–9),0.00020820862518692822
malls_within_1km,0.00020686192263680034
nearest_supermarket_name_FP17,0.00018133788828326113
flat_model_Premium Apartment,0.00018078678102212124
floor_category_High (10–19),0.0001798373897701742
street_name_BEDOK RESERVOIR VIEW,0.00016711934923072862
nearest_supermarket_chain_Sheng Siong,0.0001425172264225892
nearest_hospital_name_St. Luke's Hospital,0.0001317894176563914
nearest_mall_name_The Clementi Mall,0.00011799611489603827
nearest_poly_name_Nanyang Polytechnic,0.00011646797859782046
nearest_hawker_name_Jurong West St 52 HC,0.00011524366293714319
is_mature_estate,0.0001122159206505441
is_very_old_estate,0.00010839938306946165
nearest_hospital_name_Ang Mo Kio Thye Hua Kwan Hospital,0.00010471419454256232
flat_model_Standard,0.00010192348438246246
nearest_poly_name_Temasek Polytechnic,9.914197734738746e-05
nearest_supermarket_name_SS29,9.903314162953705e-05
nearest_hospital_name_Changi General Hospital,9.792220403380918e-05
flat_model_New Generation,9.547297929985609e-05
street_name_CLEMENTI ST 13,9.525380746389049e-05
nearest_mrt_name_Ang Mo Kio,9.296539752647428e-05
nearest_bus_interchange_name_Ang Mo Kio Interchange,9.285195990026025e-05
nearest_mall_name_Grantral Mall Clementi,9.15818181634236e-05
nearest_bus_interchange_name_Tampines Interchange,9.15296514774866e-05
nearest_bus_interchange_name_Compassvale Interchange,8.818776465629424e-05
nearest_hawker_name_Serangoon Garden Market,8.808859245027387e-05
nearest_bus_interchange_name_Clementi Interchange,8.791002608232425e-05
nearest_mrt_name_Bukit Panjang,8.77351151558043e-05
bus_interchanges_within_1km,8.536642052416576e-05
nearest_mall_name_Junction 10,7.805886589126744e-05
street_name_CLEMENTI AVE 4,7.792381555552095e-05
flat_model_Maisonette,7.60572325964017e-05
nearest_jc_name_Hwa Chong Institution (JC),7.259610095591596e-05
hospitals_within_1km,6.986323004304942e-05
nearest_hospital_name_Farrer Park Hospital,6.972687711860732e-05
nearest_mall_name_Thomson Plaza,6.94568712998128e-05
nearest_jc_name_Catholic Junior College,6.913185557025315e-05
street_name_BEDOK RESERVOIR RD,6.750719020200259e-05
nearest_poly_name_Ngee Ann Polytechnic,6.724781952242436e-05
street_name_TAMPINES CTRL 8,6.660773600107197e-05
nearest_jc_name_Anglo-Chinese Junior College,6.352110993976723e-05
street_name_TOH GUAN RD,6.329476022652815e-05
within_500m_supermarket,6.085359758246898e-05
town_TAMPINES,6.0706999634586334e-05
nearest_mall_name_Waterway Point (Punggol),6.0229713646922416e-05
street_name_RIVERVALE CRES,5.9773147483969534e-05
nearest_bus_interchange_name_Bedok Interchange,5.8535490050633456e-05
flat_model_Apartment,5.68572315333419e-05
within_1km_mrt,5.6806241298685864e-05
nearest_supermarket_name_CS42,5.587403401036425e-05
nearest_hospital_name_Raffles Hospital,5.55555417213375e-05
nearest_jc_name_Dunman High School (JC Section),5.4676450866395945e-05
nearest_hawker_name_Berseh Food Centre,5.4622066884241296e-05
nearest_top_secondary_name_St Joseph's Institution (Secondary),5.378512995181761e-05
street_name_JELAPANG RD,5.3288031931858005e-05
amenity_cluster_category_Dense,5.1660227306225535e-05
nearest_hospital_name_Ng Teng Fong General Hospital,4.883943363457823e-05
nearest_hospital_name_Ren Ci Community Hospital,4.800958108783125e-05
within_3km_jc,4.760079933573817e-05
is_mrt_influence_zone,4.6685324940316276e-05
nearest_jc_name_Raffles Institution (JC),4.6218687557880635e-05
nearest_top_secondary_name_Anglo-Chinese School (Independent),4.520435776534982e-05
nearest_mall_name_NEX (Serangoon),4.5191744228375705e-05
flat_model_Premium Apartment Loft,4.480998601021469e-05
amenity_cluster_category_Moderate,4.4145880740886274e-05
within_2km_bus_interchange,4.191872647136789e-05
street_name_TECK WHYE LANE,4.1311452789146656e-05
street_name_UPP SERANGOON VIEW,4.046748456000947e-05
nearest_top_secondary_name_Hai Sing Catholic School,4.01953399572669e-05
town_BUKIT BATOK,4.010873122285066e-05
nearest_mrt_name_Mayflower,3.8774222144915166e-05
town_HOUGANG,3.87562068427981e-05
flat_model_Simplified,3.862881634858899e-05
nearest_top_secondary_name_Dunman High School,3.813580085554661e-05
nearest_bus_interchange_name_Bukit Batok Interchange,3.808631551317565e-05
within_500m_mrt,3.807705020631108e-05
nearest_top_secondary_name_CHIJ St. Nicholas Girls' School,3.745965351776737e-05
within_500m_bus_interchange,3.737199081864134e-05
nearest_hospital_name_National University Hospital,3.650630814637927e-05
nearest_mrt_name_Tampines,3.644343223279432e-05
month_2021-12-01,3.6369016077060314e-05
month_2024-08-01,3.6257680116662494e-05
nearest_top_primary_name.1_Chongfu School,3.538854992818921e-05
town_KALLANG/WHAMPOA,3.532093759959981e-05
nearest_top_secondary_name_Methodist Girls' School (Secondary),3.5190101799814265e-05
street_name_HOUGANG CTRL,3.502614735901469e-05
nearest_supermarket_name_GT25,3.470138356393845e-05
nearest_mall_name_Chinatown Plaza,3.467741533361163e-05
month_2024-09-01,3.4633956764091034e-05
street_name_BOON LAY DR,3.45309119798365e-05
nearest_supermarket_name_FP84,3.400802913724784e-05
nearest_hawker_name_Bukit Timah Market,3.39649348059083e-05
street_name_CANTONMENT RD,3.3508881340390336e-05
within_1km_bus_interchange,3.331447659166629e-05
nearest_hawker_name_Bedok 85 Fengshan,3.317053249279613e-05
nearest_hawker_name_Yishun Park Hawker Centre,3.282508286430111e-05
street_name_SIN MING RD,3.220689085882105e-05
nearest_supermarket_name_FP87,3.15435161456266e-05
nearest_hawker_name_Geylang Serai Market,3.1369998682340944e-05
within_1km_mall,3.1179312595044665e-05
nearest_supermarket_name_GT5,3.093126078841956e-05
nearest_jc_name_Yishun Innova Junior College,3.08732972499319e-05
nearest_top_secondary_name_Kuo Chuan Presbyterian Secondary School,3.060216376768094e-05
nearest_supermarket_name_SS84,3.055312629510341e-05
nearest_top_primary_name_St. Hilda’s Primary School,3.047568296291605e-05
flat_model_Type S1,3.0174934509650317e-05
town_QUEENSTOWN,2.966818169427848e-05
nearest_mall_name_Jurong Point,2.909479490404343e-05
nearest_top_primary_name.1_St. Hilda’s Primary School,2.9016268654637726e-05
town_CENTRAL AREA,2.8514298691034317e-05
month_2020-12-01,2.8001489582527285e-05
nearest_mall_name_Tiong Bahru Plaza,2.7713663575159312e-05
month_2022-01-01,2.701072423987841e-05
nearest_hospital_name_Outram Community Hospital,2.6739156806429114e-05
nearest_supermarket_name_SS25,2.644189908369383e-05
nearest_mall_name_Hillion Mall,2.6155986432102416e-05
within_1km_hospital,2.5833724173903344e-05
nearest_hospital_name_Parkway East Hospital,2.5641408497507014e-05
month_2024-10-01,2.5592650524235416e-05
nearest_hawker_name_Maxwell Food Centre,2.5542829542305036e-05
street_name_JELEBU RD,2.5507804936177193e-05
month_2021-11-01,2.5383773499043225e-05
within_500m_mall,2.5297168025315716e-05
nearest_mall_name_Le Quest Mall,2.5193888931936762e-05
noise_category_Moderate,2.5028545054452634e-05
nearest_mrt_name_Boon Keng,2.4910307672849082e-05
street_name_CHOA CHU KANG ST 64,2.4604194972874655e-05
nearest_hospital_name_Sengkang Community Hospital,2.448272976882602e-05
street_name_JURONG WEST ST 52,2.4219533629599828e-05
month_2024-07-01,2.4212304964647575e-05
noise_category_Low,2.4047613539267147e-05
nearest_top_secondary_name_Holy Innocents' High School,2.398351174053122e-05
nearest_bus_interchange_name_Hougang Central Interchange,2.333122608759472e-05
nearest_mall_name_Our Tampines Hub,2.3319763790112827e-05
nearest_top_secondary_name_Temasek Secondary School,2.315154919337667e-05
within_2km_hospital,2.2932081608941457e-05
nearest_bus_interchange_name_Toa Payoh Interchange,2.2917081312164183e-05
nearest_top_primary_name_Chongfu School,2.276726182781718e-05
within_1km_top_primary,2.2520389049859387e-05
nearest_hospital_name_Institute of Mental Health,2.247226726531483e-05
town_BISHAN,2.2266666836350898e-05
nearest_top_primary_name.1_CHIJ St. Nicholas Girls' School (Primary),2.2116615416684464e-05
within_1km_top_primary.1,2.211244904913276e-05
nearest_supermarket_chain_Cold Storage,2.1796575122598728e-05
nearest_supermarket_name_FP18,2.175001708029722e-05
nearest_top_primary_name_Kong Hwa School,2.1741882135820876e-05
nearest_supermarket_name_FP89,2.154227212967228e-05
nearest_jc_name_St Andrew’s Junior College,2.1541653202307462e-05
street_name_PASIR RIS DR 6,2.1536304663286246e-05
nearest_top_primary_name_CHIJ St. Nicholas Girls' School (Primary),2.142086689901492e-05
flat_model_Improved-Maisonette,2.1413437312395253e-05
town_SENGKANG,2.1303092709807705e-05
within_5km_poly,2.105161830128663e-05
nearest_hospital_name_Mount Alvernia Hospital,2.0954060556417776e-05
nearest_mall_name_Square 2,2.0870322342161313e-05
nearest_supermarket_name_GT35,2.0669056451987644e-05
town_ANG MO KIO,2.059293310725781e-05
nearest_jc_name_National Junior College,2.059190480190403e-05
nearest_hospital_name_Alexandra Hospital,2.0440541405119122e-05
month_2021-01-01,2.0034213290200224e-05
nearest_mall_name_SingPost Centre,1.979873512987723e-05
month_2022-11-01,1.9569700799059993e-05
within_2km_top_secondary,1.934120959965169e-05
month_2023-08-01,1.9289825188390856e-05
nearest_supermarket_name_FP67,1.9214525157518125e-05
